Date,btc,xrp,eth,ada
29/04/2020,7806.712402,0.215562,198.465195,0.04723
30/04/2020,8797.669922,0.227169,216.909134,0.051717
01/05/2020,8672.782227,0.212858,207.901733,0.047826
02/05/2020,8869.057617,0.219275,214.230087,0.051196
03/05/2020,8983.614258,0.224064,215.352066,0.051032
04/05/2020,8895.745117,0.219451,210.890854,0.048964
05/05/2020,8912.832031,0.21891,208.013,0.049668
06/05/2020,9007.441406,0.216284,206.481354,0.049302
07/05/2020,9261.895508,0.215492,203.912857,0.04974
08/05/2020,9936.162109,0.218837,212.198242,0.051083
09/05/2020,9840.90625,0.219663,213.142166,0.052259
10/05/2020,9591.168945,0.217133,211.5522,0.051744
11/05/2020,8755.535156,0.198162,188.632187,0.047696
12/05/2020,8610.385742,0.194241,185.877335,0.048094
13/05/2020,8805.387695,0.197561,189.3741,0.050367
14/05/2020,9271.329102,0.201341,198.89151,0.051365
15/05/2020,9734.291016,0.20294,202.955399,0.050866
16/05/2020,9333.240234,0.199081,195.613388,0.050423
17/05/2020,9374.929688,0.200536,200.608871,0.050913
18/05/2020,9675.695313,0.201353,207.179779,0.051294
19/05/2020,9727.063477,0.205251,214.604935,0.054224
20/05/2020,9725.329102,0.203935,213.446243,0.056459
21/05/2020,9522.740234,0.201832,210.12915,0.056869
22/05/2020,9080.334961,0.195535,199.837112,0.052283
23/05/2020,9185.0625,0.200418,207.194489,0.05584
24/05/2020,9212.283203,0.198911,208.716064,0.055265
25/05/2020,8786.107422,0.195285,201.982651,0.052188
26/05/2020,8909.585938,0.197273,205.259567,0.053881
27/05/2020,8837.380859,0.19392,201.893005,0.05348
28/05/2020,9184.945313,0.197924,208.885437,0.05512
29/05/2020,9528.355469,0.200669,219.925049,0.064645
30/05/2020,9438.914063,0.198349,220.717209,0.064777
31/05/2020,9700.105469,0.206236,242.351379,0.076905
01/06/2020,9463.605469,0.202834,230.86026,0.074244
02/06/2020,10162.97363,0.210182,246.828186,0.080983
03/06/2020,9533.760742,0.202901,237.395218,0.078518
04/06/2020,9655.854492,0.203719,244.105286,0.085364
05/06/2020,9800.21582,0.205044,244.349594,0.08905
06/06/2020,9664.904297,0.204208,241.201355,0.085449
07/06/2020,9653.00293,0.20318,241.908081,0.086035
08/06/2020,9760.063477,0.203426,245.178574,0.086703
09/06/2020,9774.360352,0.203809,246.175018,0.086444
10/06/2020,9794.119141,0.201976,244.822067,0.083394
11/06/2020,9870.078125,0.202916,247.548538,0.08354
12/06/2020,9320.69043,0.190165,231.625458,0.075368
13/06/2020,9480.735352,0.193989,237.544617,0.079613
14/06/2020,9477.553711,0.193179,238.968185,0.079103
15/06/2020,9386.035156,0.191617,234.058304,0.076748
